branch,subject,facultyID,Punctuality,Regularity   ,Syllabus,OrgAssgnCT,teachingMethods,queryResolution,subjectKnow,Lab,Behaviour   ,Arrangements,FBPoints
CS4,CNS,ABT,9.28,9.32,8.66,8.74,8.24,7.95,8.63,8.42,9.26,9.25,39
CS4,DBA,DUP,9.38,9.59,9.13,9.36,9.38,9.26,9.58,9.26,9.62,9.49,39
CS4,DC,SHR,8.11,8.05,7.92,8.46,8.41,8.36,8.49,8.57,8.92,8.86,39
CS4,WT,UAY,7.03,6.33,6.59,6.74,7.33,7.13,7.56,6.85,8.45,8.08,39
CS4,Project,BBT,9.08,8.97,8.82,8.76,8.76,8.71,8.76,9.13,9.21,8.95,39
IT4,CNS,ABT,9.75,10.00,9.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,4
IT4,DBA,DUP,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,4
IT4,DC,MGG,7.25,6.75,6.75,7.25,8.25,7.75,8.50,7.75,9.25,7.75,4
IT4,SA,ASM,9.75,9.25,10.00,10.00,10.00,10.00,10.00,9.75,10.00,10.00,4
IT4,CNS Lab,ABT,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,4
IT4,Project,BBT,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,4
CS3,GT,SHR,8.80,8.88,8.60,8.22,8.80,8.92,9.04,9.33,9.24,7.96,25
CS3,OS,PPY,9.04,9.12,8.48,8.65,8.92,8.88,9.04,8.39,9.08,8.33,25
CS3,DNT,MGG,6.72,5.72,6.12,6.39,7.76,8.16,8.28,6.64,8.60,6.54,25
CS3,CMPL,DBG,8.68,9.12,8.80,8.39,7.96,8.20,8.40,8.20,9.28,8.17,25
CS3,AI,ABT,9.60,9.56,9.48,9.22,9.56,9.64,9.64,9.12,9.80,9.00,25
CS3,POM,DBT,9.04,9.32,9.74,9.04,9.12,9.20,9.44,9.80,9.60,8.54,25
CS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT3,CG,SHR,9.60,9.60,8.80,9.60,9.60,9.00,8.80,9.80,10.00,9.40,5
IT3,CN,PMJ,9.40,9.80,9.00,9.80,9.60,9.60,9.20,10.00,10.00,10.00,5
IT3,IWT,ASM,9.20,9.60,8.80,9.00,9.20,9.20,9.40,9.25,9.80,10.00,5
IT3,AJP,PVS,9.40,9.60,9.20,9.60,9.20,8.80,8.60,9.33,9.60,9.80,5
IT3,SOC,PPY,9.80,10.00,9.20,9.40,9.60,9.80,9.20,10.00,9.80,9.40,5
IT3,POM,DBT,9.40,9.80,9.80,9.60,9.60,9.00,9.60,10.00,10.00,10.00,5
